survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,pclass_redundant,fare_age_combination
0,3,male,22.0,1,0,,c,Third,man,True,,Southampton,no,False,3,
1,1,FEMALE,456.0,1,0,71.31240270832502,,First,woman,False,C,Cherbourg,yes,False,1,32518.45563499621
1,3,female,26.0,0,0,,S,Third,woman,False,,Southampton,yes,True,3,
1,1,female,420.0,1,0,53.28486788385264,S,First,woman,False,C,Southampton,yes,False,1,22379.644511218103
0,3,male,35.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Queenstown,no,True,3,
0,1,male,54.0,0,0,51.314333644030754,S,First,man,True,E,Southampton,no,True,1,2770.974016777661
0,3,MALE,2.0,3,1,,,Third,child,False,,Southampton,no,False,3,
1,3,female,27.0,0,2,,,Third,woman,False,,Southampton,yes,False,3,
1,2,female,14.0,1,0,31.07517663476313,S,Second,child,False,,Cherbourg,yes,False,2,435.0524728866839
1,3,female,4.0,1,1,,S,Third,child,False,G,Southampton,yes,False,3,
1,1,FEMALE,58.0,0,0,,,First,woman,False,C,Southampton,yes,True,1,
0,3,MALE,20.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,39.0,1,5,,s,Third,man,True,,Southampton,no,False,3,
0,3,female,14.0,0,0,,,Third,child,False,,Southampton,no,True,3,
1,2,female,55.0,0,0,15.445944706587216,S,Second,woman,False,,Southampton,yes,True,2,849.5269588622969
0,3,male,24.0,4,1,,S,Third,child,False,,Queenstown,no,False,3,
1,2,male,,0,0,11.6837299589259,S,Second,man,True,,Southampton,yes,True,2,
0,3,female,372.0,1,0,,S,Third,woman,False,,Southampton,no,False,3,
1,3,female,,0,0,,S,Third,woman,False,,Cherbourg,yes,True,3,
0,2,male,35.0,0,0,24.8001402778204,S,Second,man,True,,Southampton,no,True,2,868.004909723714
1,2,male,34.0,0,0,13.553363568772625,s,Second,man,True,D,Southampton,yes,True,2,460.8143613382692
1,3,female,15.0,0,0,,Q,Third,child,False,,Queenstown,yes,True,3,
1,1,male,150.0,0,0,5124.072070297391,,First,man,True,A,Southampton,yes,True,1,768610.8105446087
0,3,female,8.0,3,1,,Q,Third,child,False,,Southampton,no,False,3,
1,3,female,38.0,1,5,,S,Third,woman,False,,Southampton,yes,False,3,
0,3,male,,0,0,,s,Third,man,True,,Cherbourg,no,True,3,
0,1,male,19.0,3,2,263.17698631145504,s,First,man,True,C,Southampton,no,False,1,5000.362739917646
1,3,female,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,1,male,150.0,0,0,5123.927446028315,S,First,man,True,,Cherbourg,no,True,1,768589.1169042472
1,1,female,,1,0,,,First,woman,False,B,Cherbourg,yes,False,1,
1,3,female,,0,0,,,Third,woman,False,,Queenstown,yes,True,3,
0,2,MALE,66.0,0,0,10.90330039024528,C,Second,man,True,,Southampton,no,True,2,719.6178257561886
0,1,MALE,28.0,1,0,83.97731621066201,S,First,man,True,,Cherbourg,no,False,1,2351.364853898536
0,1,MALE,42.0,1,0,53.09516041172023,S,First,man,True,,Southampton,no,False,1,2229.9967372922497
1,3,male,,0,0,,S,Third,man,True,,Cherbourg,yes,True,3,
0,3,male,252.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,female,18.0,2,0,,S,Third,woman,False,,Southampton,no,False,3,
1,3,female,150.0,1,0,,,Third,child,False,,Cherbourg,yes,False,3,
0,3,female,40.0,1,0,,s,Third,woman,False,,Southampton,no,False,3,
0,2,female,324.0,1,0,,S,Second,woman,False,,Southampton,no,False,2,
0,3,male,,0,0,,C,Third,man,True,,Cherbourg,no,True,3,
1,2,FEMALE,3.0,1,2,41.06059202096971,s,Second,child,False,,Cherbourg,yes,False,2,123.18177606290912
1,3,female,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,1,0,,,Third,man,True,,Queenstown,no,False,3,
1,3,female,,0,0,,C,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,2,0,,,Third,man,True,,Cherbourg,no,False,3,
0,3,female,18.0,1,0,,C,Third,woman,False,,Southampton,no,False,3,
0,3,MALE,7.0,4,1,,,Third,child,False,,Southampton,no,False,3,
0,3,male,21.0,0,0,,c,Third,man,True,,Southampton,no,True,3,
1,1,FEMALE,49.0,1,0,75.80896147022362,,First,woman,False,D,Cherbourg,yes,False,1,3714.6391120409576
1,2,FEMALE,29.0,1,0,,Q,Second,woman,False,,Southampton,yes,False,2,
0,1,male,780.0,0,1,61.70904000761733,,First,man,True,B,Cherbourg,no,False,1,48133.05120594152
1,1,MALE,,0,0,36.75481194346917,c,First,man,True,C,Southampton,yes,True,1,
1,2,female,21.0,0,0,9.95374096187396,S,Second,woman,False,,Southampton,yes,True,2,209.0285601993532
0,3,male,28.5,0,0,,S,Third,man,True,,Cherbourg,no,True,3,
1,2,female,5.0,1,2,27.82587738995981,S,Second,child,False,,Southampton,yes,False,2,139.12938694979908
0,3,male,11.0,5,2,,C,Third,child,False,,Southampton,no,False,3,
0,3,male,22.0,0,0,,,Third,man,True,,Cherbourg,no,True,3,
1,1,female,456.0,0,0,79.6384114194244,S,First,woman,False,B,,yes,True,1,36315.115607257525
0,1,MALE,45.0,1,0,83.25025437948501,,First,man,True,C,Southampton,no,False,1,3746.261447076826
0,3,male,4.0,3,2,,,Third,child,False,,Southampton,no,False,3,
0,1,male,,0,0,27.91974969648331,,First,man,True,,Cherbourg,no,True,1,
1,3,male,,1,1,,,Third,man,True,,Cherbourg,yes,False,3,
1,2,female,,0,0,,S,Second,woman,False,F,Southampton,yes,True,2,
0,3,MALE,,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,3,female,17.0,4,2,,c,Third,woman,False,,Southampton,yes,False,3,
0,3,MALE,26.0,2,0,,S,Third,man,True,,Southampton,no,False,3,
0,2,male,150.0,0,0,5124.443219640786,,Second,man,True,,Southampton,no,True,2,768666.4829461179
0,3,female,16.0,5,2,,Q,Third,woman,False,,Southampton,no,False,3,
0,2,male,150.0,0,0,5124.487139179834,S,Second,man,True,,Southampton,no,True,2,768673.0708769751
0,3,MALE,26.0,1,0,,S,Third,man,True,,Cherbourg,no,False,3,
1,3,male,384.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
0,3,male,25.0,0,0,,,Third,man,True,F,Southampton,no,True,3,
0,3,male,,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,,Third,man,True,,Southampton,no,True,3,
1,2,male,0.83,0,2,29.507420927833287,C,Second,child,False,,Southampton,yes,False,2,24.491159370101627
1,3,female,30.0,0,0,,,Third,woman,False,,Southampton,yes,True,3,
0,3,MALE,22.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,3,male,348.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
1,3,female,,0,0,,C,Third,woman,False,,Queenstown,yes,True,3,
0,1,male,28.0,0,0,47.27721878507169,S,First,man,True,,Southampton,no,True,1,1323.762125982007
1,2,female,17.0,0,0,9.1837299589259,,Second,woman,False,,Southampton,yes,True,2,156.1234093017403
1,3,female,396.0,3,0,,S,Third,woman,False,,Southampton,yes,False,3,
0,3,male,150.0,1,3,,S,Third,man,True,,Southampton,no,False,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
1,1,FEMALE,23.0,3,2,262.7898330922081,C,First,woman,False,C,Southampton,yes,False,1,6044.166161120786
0,3,male,24.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,29.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,20.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,1,male,46.0,1,0,,,First,man,True,E,Southampton,no,False,1,
0,3,male,26.0,1,2,,,Third,man,True,,Southampton,no,False,3,
0,3,male,59.0,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,1,male,71.0,0,0,34.994854136412144,S,First,man,True,A,Cherbourg,no,True,1,2484.6346436852623
1,1,male,276.0,0,1,62.53683047097035,,First,man,True,D,Cherbourg,yes,False,1,17260.165209987816
1,2,female,408.0,0,1,,S,Second,woman,False,,Southampton,yes,False,2,
0,2,male,34.0,1,0,26.59564405756972,S,Second,man,True,,Southampton,no,False,2,904.2518979573704
0,3,female,336.0,0,0,,S,Third,woman,False,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,1,male,21.0,0,1,76.65721355593486,,First,man,True,D,Southampton,no,False,1,1609.801484674632
0,3,male,33.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,MALE,37.0,2,0,,s,Third,man,True,,Southampton,no,False,3,
0,3,male,28.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
